hand_type,player_hand,2,3,4,5,6,7,8,9,10,A
hard,4-8,H,H,H,H,H,H,H,H,H,H
hard,9,Dh,Dh,Dh,Dh,Dh,H,H,H,H,H
hard,10,Dh,Dh,Dh,Dh,Dh,Dh,Dh,Dh,H,H
hard,11,Dh,Dh,Dh,Dh,Dh,Dh,Dh,Dh,Dh,Dh
hard,12,H,H,S,S,S,H,H,H,H,H
hard,13,S,S,S,S,S,H,H,H,H,H
hard,14,S,S,S,S,S,H,H,H,H,H
hard,15,S,S,S,S,S,H,H,H,Rh,H
hard,16,S,S,S,S,S,H,H,H,Rh,Rh
hard,17-21,S,S,S,S,S,S,S,S,S,S
soft,"A,2",H,H,H,Dh,Dh,H,H,H,H,H
soft,"A,3",H,H,H,Dh,Dh,H,H,H,H,H
soft,"A,4",H,H,Dh,Dh,Dh,H,H,H,H,H
soft,"A,5",H,Dh,Dh,Dh,Dh,H,H,H,H,H
soft,"A,6",H,Dh,Dh,Dh,Dh,H,H,H,H,H
soft,"A,7",S,Ds,Ds,Ds,Ds,S,S,H,H,H
soft,"A,8-10",S,S,S,S,S,S,S,S,S,S
splits,"2,2",Ph,Ph,P,P,P,P,H,H,H,H
splits,"3,3",Ph,Ph,P,P,P,P,H,H,H,H
splits,"4,4",H,H,H,Ph,Ph,H,H,H,H,H
splits,"6,6",P,P,P,P,P,Ph,H,H,H,H
splits,"7,7",P,P,P,P,P,P,Ph,H,H,H
splits,"8,8",P,P,P,P,P,P,P,P,P,P
splits,"9,9",P,P,P,P,P,S,P,P,S,S
splits,"A,A",P,P,P,P,P,P,P,P,P,P
